parc_name,parcel_name,gmd_sws_rs_fdr,zALFF_sws_rs_fdr,zDCbin_sws_rs_fdr,zDCwei_sws_rs_fdr,zfALFF_sws_rs_fdr,zReHo_sws_rs_fdr,sws_rs
17Networks_LH_DorsAttnB_PostC_4,zALFF_17Networks_LH_DorsAttnB_PostC_4,,0.035281667812391,,,,,0.035281667812391
17Networks_LH_DorsAttnA_SPL_1,zALFF_17Networks_LH_DorsAttnA_SPL_1,,0.038744994339704,,,,,0.038744994339704
17Networks_LH_SomMotB_Cent_2,zALFF_17Networks_LH_SomMotB_Cent_2,,0.014233440272412,,,,,0.014233440272412
17Networks_LH_SomMotB_Cent_1,zALFF_17Networks_LH_SomMotB_Cent_1,,0.015864959883771,,,,,0.015864959883771
17Networks_LH_SomMotB_S2_4,zALFF_17Networks_LH_SomMotB_S2_4,,0.028364375431148,,,,,0.028364375431148
17Networks_LH_SomMotA_17,zALFF_17Networks_LH_SomMotA_17,,0.026202266369916,,,,,0.026202266369916
17Networks_LH_SomMotA_12,zALFF_17Networks_LH_SomMotA_12,,0.027339154916707,,,,,0.027339154916707
17Networks_LH_SomMotA_9,zALFF_17Networks_LH_SomMotA_9,,0.014233440272412,,,,,0.014233440272412
17Networks_LH_SomMotA_7,zALFF_17Networks_LH_SomMotA_7,,0.044448010809187,,,,,0.044448010809187
17Networks_LH_SomMotA_3,zALFF_17Networks_LH_SomMotA_3,,0.026202266369916,,,,,0.026202266369916
17Networks_LH_SomMotA_2,zALFF_17Networks_LH_SomMotA_2,,0.038656010010916,,,,,0.038656010010916
17Networks_LH_SomMotA_1,zALFF_17Networks_LH_SomMotA_1,,0.024345739320034,,,,,0.024345739320034
17Networks_LH_VisCent_ExStr_9,zALFF_17Networks_LH_VisCent_ExStr_9,,0.049393518081599,,,,,0.049393518081599
17Networks_RH_DorsAttnB_PostC_8,zDCwei_17Networks_RH_DorsAttnB_PostC_8zDCbin_17Networks_RH_DorsAttnB_PostC_8,0,0,0.03974501423636,0.032785140413764,0,0,0.072530154650124
17Networks_RH_VisCent_ExStr_4,zDCwei_17Networks_RH_VisCent_ExStr_4,,,,0.048635115642327,,,0.048635115642327
17Networks_LH_ContC_Cingp_1,zDCwei_17Networks_LH_ContC_Cingp_1zDCbin_17Networks_LH_ContC_Cingp_1,0,0,0.042033018633521,0.048908673805351,0,0,0.090941692438872
17Networks_LH_ContB_Temp_2,zDCwei_17Networks_LH_ContB_Temp_2,,,,0.03960872394604,,,0.03960872394604
17Networks_LH_ContA_PFCd_1,zDCwei_17Networks_LH_ContA_PFCd_1,,,,0.048181247433385,,,0.048181247433385
17Networks_LH_SalVentAttnA_FrMed_1,zDCwei_17Networks_LH_SalVentAttnA_FrMed_1zDCbin_17Networks_LH_SalVentAttnA_FrMed_1,0,0,0.028364375431148,0.019741835438349,0,0,0.048106210869497
17Networks_LH_SalVentAttnA_ParOper_1,zDCwei_17Networks_LH_SalVentAttnA_ParOper_1zDCbin_17Networks_LH_SalVentAttnA_ParOper_1,0,0,0.030358802440932,0.029132420097056,0,0,0.059491222537988
17Networks_LH_DorsAttnB_PostC_1,zDCwei_17Networks_LH_DorsAttnB_PostC_1zDCbin_17Networks_LH_DorsAttnB_PostC_1,0,0,0.042033018633521,0.043378080487068,0,0,0.085411099120589
17Networks_LH_ContA_PFClv_1,zDCbin_17Networks_LH_ContA_PFClv_1,,,0.046952526094726,,,,0.046952526094726
17Networks_LH_SalVentAttnA_ParMed_1,zDCbin_17Networks_LH_SalVentAttnA_ParMed_1,,,0.048176370550065,,,,0.048176370550065
